SR. NO,Model,UPC,SKU,Option,Item Name (English),Category Name ( Arabic),Item Name (Arabic),RRP,REMARKS,Unnamed: 10,Tag (English),"Tag,(Arabic)",SEO,English Desc,Arabic Desc
16,ANKER CABLES,,7D-A8452H11,BLACK,ANKER POWERLINE+ II LIGHTNING - 0.9M/3FT - BLACK,,انكر باورلاين بلاس 2 كابل لايتننغ بطول 0.9 متر – أسود,7.5,,,"ANKER,POWERLINE+,II,LIGHTNING,0.9M,3FT,BLACK","انكر,باورلاين,بلاس,2,كابل,لايتننغ,بطول,0.9,متر,–,أسود",ANKER-POWERLINE+-II-LIGHTNING-0.9M-3FT-BLACK,"Staying Power: Lasts 30x longer than ordinary cables—proven in a laboratory environment to withstand 30000 bends.
Amazing Strength: One of the toughest cables ever created, with tensile strength capable of withstanding 175 lbs.
Apple Certification: MFi certified for flawless compatibility with Apple Lightning devices, ensuring the highest possible charging speeds.
Perfectly Portable: 3ft of cable fits just right wherever it needs to be stowed, while remaining lengthy enough to charge with ease.
What You Get: PowerLine+ II Lightning Cable, welcome guide, hassle-free lifetime warranty and friendly customer service. (Travel pouch not included with 1ft and 10ft lengths.)
PowerLine+ II Lightning Cable
The Ultra-Durable Cable That's Yours For Life

Evolved Durability
Withstand any twist, tug, and tangle with premium braided nylon fiber. And PowerLine+ II's elite internal components are built to last years, charge after charge.

Certified Fast
Boasts Apple's MFi certification for Lightning cables, ensuring ideal charging speeds for iPhone 8, 8 Plus, X, and any other device with a Lightning interface.

Pocket Perfect
Ideal take-anywhere size for charging on-the-go.

Creative Colors
Choose from four brilliant colors: vibrant two-shade nylon braiding to match any device, purse, bag, or room. Stand out from the crowd and easily spot your cable—even in crowded or messy environments.

A Cable for Life
We're so confident in PowerLine+ II, we are offering a hassle-free replacement for all quality issues. Not for half a year, not for 18 months, but for an entire lifetime. It's the only cable you will ever need to buy.

Compatible Devices
iPhone X / 8 / 8 Plus / 7 / 7 Plus / 6 / 6 Plus / 5s, iPad Pro / Air / Air 2, iPad mini / mini 2 / mini 3 / mini 4, iPad (4th generation), iPod nano (7th generation) and iPod Touch (5th generation)","تدوم طويلاً 30 مرة أكثر من الكابلات العادية - ثبت في بيئة معملية أنها تتحمل 30000 انحناء.
قوة مذهلة: واحدة من أصعب الكابلات التي تم إنشاؤها على الإطلاق ، مع قوة شد قادرة على تحمل 175 رطلاً.
شهادة Apple: معتمدة من MFi لتوافق لا تشوبه شائبة مع أجهزة Apple Lightning ، مما يضمن أعلى سرعات شحن ممكنة.
ممتاز للتنقل: 3 أقدام من الكبل يناسب تمامًا أي مكان يحتاج إلى تخزينه ، بينما يظل طويلًا بما يكفي لشحنه بسهولة.
ما تحصل عليه: PowerLine + II Lightning Cable ، دليل ترحيب ، ضمان خالٍ من المتاعب مدى الحياة وخدمة عملاء ودودة. 
كابل Lightning PowerLine + II
الكابل شديد التحمل لك مدى الحياة

متانة متطورة
تحمل أي التفاف ، وسحب ، وتشابك مع ألياف نايلون مضفرة ممتازة. وتم تصميم المكونات الداخلية المتميزة في PowerLine + II لتدوم لسنوات ، ويتم شحنها بعد الشحن.

سريع معتمد
يتميز بشهادة Apple MFi لكابلات Lightning ، مما يضمن سرعات شحن مثالية لأجهزة iPhone 8 و 8 Plus و X وأي جهاز آخر مزود بواجهة Lightning.

ممتاز للحمل في الجيب
حجم مثالي يمكن أخذه في أي مكان للشحن أثناء التنقل.

ألوان إبداعية
اختر من بين أربعة ألوان رائعة: ضفيرة نابضة بالحياة من النايلون ذات درجتين لتتناسب مع أي جهاز أو حقيبة يد أو حقيبة أو غرفة. تميّز عن الآخرين واكتشف الكابل بسهولة - حتى في البيئات المزدحمة أو الفوضوية.
كابل مدى الحياة
نحن واثقون جدًا من PowerLine + II ، فنحن نقدم بديلاً خاليًا من المتاعب لجميع مشكلات الجودة. ليس لمدة نصف عام ، وليس لمدة 18 شهرًا ، ولكن طوال العمر. إنه الكابل الوحيد الذي ستحتاج إلى شرائه على الإطلاق.

الأجهزة المتوافقة:
iPhone X / 8/8 Plus / 7/7 Plus / 6/6 Plus / 5s ، iPad Pro / Air / Air 2 ، iPad mini / mini 2 / mini 3 / mini 4 ، iPad (الجيل الرابع) ، iPod nano (السابع الجيل) و iPod Touch (الجيل الخامس)"
16,ANKER CABLES,,7D-A8452H91,RED,ANKER POWERLINE+ II LIGHTNING - 0.9M/3FT - RED,,انكر باورلاين بلاس 2 كابل لايتننغ بطول 0.9 متر – أبيض,7.5,,,"ANKER,POWERLINE+,II,LIGHTNING,0.9M,3FT,RED","انكر,باورلاين,بلاس,2,كابل,لايتننغ,بطول,0.9,متر,–,أبيض",ANKER-POWERLINE+-II-LIGHTNING-0.9M-3FT-RED,,
17,ANKER CABLES,,7D-A8453H11,BLACK,ANKER POWERLINE+ II LIGHTNING - 1.8M/6FT - BLACK,,انكر باورلاين بلاس 2 كابل لايتننغ بطول 1.8 متر – أسود,8.5,,,"ANKER,POWERLINE+,II,LIGHTNING,1.8M,6FT,BLACK","انكر,باورلاين,بلاس,2,كابل,لايتننغ,بطول,1.8,متر,–,أسود",ANKER-POWERLINE+-II-LIGHTNING-1.8M-6FT-BLACK,"Staying Power: Lasts 30x longer than ordinary cables—proven in a laboratory environment to withstand 30000 bends.
Amazing Strength: One of the toughest cables ever created, with tensile strength capable of withstanding 175 lbs.
Apple Certification: MFi certified for flawless compatibility with Apple Lightning devices, ensuring the highest possible charging speeds.
Perfectly Portable: 6ft of cable fits just right wherever it needs to be stowed, while remaining lengthy enough to charge with ease.
What You Get: PowerLine+ II Lightning Cable, welcome guide, hassle-free lifetime warranty and friendly customer service. (Travel pouch not included with 1ft and 10ft lengths.)
PowerLine+ II Lightning Cable
The Ultra-Durable Cable That's Yours For Life

Evolved Durability
Withstand any twist, tug, and tangle with premium braided nylon fiber. And PowerLine+ II's elite internal components are built to last years, charge after charge.

Certified Fast
Boasts Apple's MFi certification for Lightning cables, ensuring ideal charging speeds for iPhone 8, 8 Plus, X, and any other device with a Lightning interface.

Pocket Perfect
Ideal take-anywhere size for charging on-the-go.

Creative Colors
Choose from four brilliant colors: vibrant two-shade nylon braiding to match any device, purse, bag, or room. Stand out from the crowd and easily spot your cable—even in crowded or messy environments.

A Cable for Life
We're so confident in PowerLine+ II, we are offering a hassle-free replacement for all quality issues. Not for half a year, not for 18 months, but for an entire lifetime. It's the only cable you will ever need to buy.

Compatible Devices
iPhone X / 8 / 8 Plus / 7 / 7 Plus / 6 / 6 Plus / 5s, iPad Pro / Air / Air 2, iPad mini / mini 2 / mini 3 / mini 4, iPad (4th generation), iPod nano (7th generation) and iPod Touch (5th generation)","تدوم طويلاً 30 مرة أكثر من الكابلات العادية - ثبت في بيئة معملية أنها تتحمل 30000 انحناء.
قوة مذهلة: واحدة من أصعب الكابلات التي تم إنشاؤها على الإطلاق ، مع قوة شد قادرة على تحمل 175 رطلاً.
شهادة Apple: معتمدة من MFi لتوافق لا تشوبه شائبة مع أجهزة Apple Lightning ، مما يضمن أعلى سرعات شحن ممكنة.
ممتاز للتنقل: 6 أقدام من الكبل يناسب تمامًا أي مكان يحتاج إلى تخزينه ، بينما يظل طويلًا بما يكفي لشحنه بسهولة.
ما تحصل عليه: PowerLine + II Lightning Cable ، دليل ترحيب ، ضمان خالٍ من المتاعب مدى الحياة وخدمة عملاء ودودة. 
كابل Lightning PowerLine + II
الكابل شديد التحمل لك مدى الحياة

متانة متطورة
تحمل أي التفاف ، وسحب ، وتشابك مع ألياف نايلون مضفرة ممتازة. وتم تصميم المكونات الداخلية المتميزة في PowerLine + II لتدوم لسنوات ، ويتم شحنها بعد الشحن.

سريع معتمد
يتميز بشهادة Apple MFi لكابلات Lightning ، مما يضمن سرعات شحن مثالية لأجهزة iPhone 8 و 8 Plus و X وأي جهاز آخر مزود بواجهة Lightning.

ممتاز للحمل في الجيب
حجم مثالي يمكن أخذه في أي مكان للشحن أثناء التنقل.

ألوان إبداعية
اختر من بين أربعة ألوان رائعة: ضفيرة نابضة بالحياة من النايلون ذات درجتين لتتناسب مع أي جهاز أو حقيبة يد أو حقيبة أو غرفة. تميّز عن الآخرين واكتشف الكابل بسهولة - حتى في البيئات المزدحمة أو الفوضوية.
كابل مدى الحياة
نحن واثقون جدًا من PowerLine + II ، فنحن نقدم بديلاً خاليًا من المتاعب لجميع مشكلات الجودة. ليس لمدة نصف عام ، وليس لمدة 18 شهرًا ، ولكن طوال العمر. إنه الكابل الوحيد الذي ستحتاج إلى شرائه على الإطلاق.

الأجهزة المتوافقة:
iPhone X / 8/8 Plus / 7/7 Plus / 6/6 Plus / 5s ، iPad Pro / Air / Air 2 ، iPad mini / mini 2 / mini 3 / mini 4 ، iPad (الجيل الرابع) ، iPod nano (السابع الجيل) و iPod Touch (الجيل الخامس)"
17,ANKER CABLES,,7D-A8453H91,RED,ANKER POWERLINE+ II LIGHTNING - 1.8M/6FT - RED,,انكر باورلاين بلاس 2 كابل لايتننغ بطول 1.8 متر – أحمر,8.5,,,"ANKER,POWERLINE+,II,LIGHTNING,1.8M,6FT,RED","انكر,باورلاين,بلاس,2,كابل,لايتننغ,بطول,1.8,متر,–,أحمر",ANKER-POWERLINE+-II-LIGHTNING-1.8M-6FT-RED,,
18,ANKER CABLES,,7D-A8454H11,BLACK,ANKER POWERLINE + II LIGHTNING - 3M/10FT - BLACK,,انكر باورلاين بلاس 2 كابل لايتننغ بطول 3 متر – أسود,9.5,,,"ANKER,POWERLINE,+,II,LIGHTNING,3M,10FT,BLACK","انكر,باورلاين,بلاس,2,كابل,لايتننغ,بطول,3,متر,–,أسود",ANKER-POWERLINE-+-II-LIGHTNING-3M-10FT-BLACK,"Staying Power: Lasts 30x longer than ordinary cables—proven in a laboratory environment to withstand 30000 bends.
Amazing Strength: One of the toughest cables ever created, with tensile strength capable of withstanding 175 lbs.
Apple Certification: MFi certified for flawless compatibility with Apple Lightning devices, ensuring the highest possible charging speeds.
Perfectly Portable: 10FT of cable fits just right wherever it needs to be stowed, while remaining lengthy enough to charge with ease.
What You Get: PowerLine+ II Lightning Cable, welcome guide, hassle-free lifetime warranty and friendly customer service. (Travel pouch not included with 1ft and 10ft lengths.)
PowerLine+ II Lightning Cable
The Ultra-Durable Cable That's Yours For Life

Evolved Durability
Withstand any twist, tug, and tangle with premium braided nylon fiber. And PowerLine+ II's elite internal components are built to last years, charge after charge.

Certified Fast
Boasts Apple's MFi certification for Lightning cables, ensuring ideal charging speeds for iPhone 8, 8 Plus, X, and any other device with a Lightning interface.

Pocket Perfect
Ideal take-anywhere size for charging on-the-go.

Creative Colors
Choose from four brilliant colors: vibrant two-shade nylon braiding to match any device, purse, bag, or room. Stand out from the crowd and easily spot your cable—even in crowded or messy environments.

A Cable for Life
We're so confident in PowerLine+ II, we are offering a hassle-free replacement for all quality issues. Not for half a year, not for 18 months, but for an entire lifetime. It's the only cable you will ever need to buy.

Compatible Devices
iPhone X / 8 / 8 Plus / 7 / 7 Plus / 6 / 6 Plus / 5s, iPad Pro / Air / Air 2, iPad mini / mini 2 / mini 3 / mini 4, iPad (4th generation), iPod nano (7th generation) and iPod Touch (5th generation)","تدوم طويلاً 30 مرة أكثر من الكابلات العادية - ثبت في بيئة معملية أنها تتحمل 30000 انحناء.
قوة مذهلة: واحدة من أصعب الكابلات التي تم إنشاؤها على الإطلاق ، مع قوة شد قادرة على تحمل 175 رطلاً.
شهادة Apple: معتمدة من MFi لتوافق لا تشوبه شائبة مع أجهزة Apple Lightning ، مما يضمن أعلى سرعات شحن ممكنة.
ممتاز للتنقل: 10 أقدام من الكبل يناسب تمامًا أي مكان يحتاج إلى تخزينه ، بينما يظل طويلًا بما يكفي لشحنه بسهولة.
ما تحصل عليه: PowerLine + II Lightning Cable ، دليل ترحيب ، ضمان خالٍ من المتاعب مدى الحياة وخدمة عملاء ودودة. 
كابل Lightning PowerLine + II
الكابل شديد التحمل لك مدى الحياة

متانة متطورة
تحمل أي التفاف ، وسحب ، وتشابك مع ألياف نايلون مضفرة ممتازة. وتم تصميم المكونات الداخلية المتميزة في PowerLine + II لتدوم لسنوات ، ويتم شحنها بعد الشحن.

سريع معتمد
يتميز بشهادة Apple MFi لكابلات Lightning ، مما يضمن سرعات شحن مثالية لأجهزة iPhone 8 و 8 Plus و X وأي جهاز آخر مزود بواجهة Lightning.

ممتاز للحمل في الجيب
حجم مثالي يمكن أخذه في أي مكان للشحن أثناء التنقل.

ألوان إبداعية
اختر من بين أربعة ألوان رائعة: ضفيرة نابضة بالحياة من النايلون ذات درجتين لتتناسب مع أي جهاز أو حقيبة يد أو حقيبة أو غرفة. تميّز عن الآخرين واكتشف الكابل بسهولة - حتى في البيئات المزدحمة أو الفوضوية.
كابل مدى الحياة
نحن واثقون جدًا من PowerLine + II ، فنحن نقدم بديلاً خاليًا من المتاعب لجميع مشكلات الجودة. ليس لمدة نصف عام ، وليس لمدة 18 شهرًا ، ولكن طوال العمر. إنه الكابل الوحيد الذي ستحتاج إلى شرائه على الإطلاق.

الأجهزة المتوافقة:
iPhone X / 8/8 Plus / 7/7 Plus / 6/6 Plus / 5s ، iPad Pro / Air / Air 2 ، iPad mini / mini 2 / mini 3 / mini 4 ، iPad (الجيل الرابع) ، iPod nano (السابع الجيل) و iPod Touch (الجيل الخامس)"
18,ANKER CABLES,,7D-A8454H91,RED,ANKER POWERLINE+ II LIGHTNING - 3M/10FT - RED,,انكر باورلاين بلاس 2 كابل لايتننغ بطول 3 متر – أحمر,9.5,,,"ANKER,POWERLINE+,II,LIGHTNING,3M,10FT,RED","انكر,باورلاين,بلاس,2,كابل,لايتننغ,بطول,3,متر,–,أحمر",ANKER-POWERLINE+-II-LIGHTNING-3M-10FT-RED,,
19,,,7D-ANK-A1211-BK,,ANKER ASTRO E1 EXTERNAL BACK UP BATTERY - 5200MAH - BLACK,,انكر استرو E1 شاحن محمول ببطارية خارجية /بنك طاقة – أسود,7.0,,,"ANKER,ASTRO,E1,EXTERNAL,BACK,UP,BATTERY,5200MAH,BLACK","انكر,استرو,E1,شاحن,محمول,ببطارية,خارجية,بنك,طاقة,–,أسود",ANKER-ASTRO-E1-EXTERNAL-BACK-UP-BATTERY-5200MAH-BLACK,"Astro E1 Portable Charger External Battery Power Bank
Charge your phone on the go.

From ANKER, America's Leading USB Charging Brand
Faster and safer charging with our advanced technology
10 million+ happy users and counting

PowerIQ
Exclusive to Anker. Intelligent high-speed charging for all your devices. Does not support Qualcomm Quick Charge

High Capacity
Charge your Apple or Android smartphone one to two times while on the move. You can even charge an iPad mini 3 to about 70%!

Incredibly Compact
This thing is remarkably small. About the same size as a small candy bar, you simply will not find a more portable powerpack.

Superior Quality
We use only premium battery cells, together with advanced materials and cutting-edge technology, to ensure complete safety.

World Famous Warranty
At Anker, we believe in our products. That's why we back them all with an 18-month warranty and provide friendly, easy-to-reach support.
Compatible With:
Most USB-charged devices, including iPhone 8 / X / XS / XS Max / XR (Lightning cable required), Android smartphones and tablets (including the Nexus 7).

Specs:
Capacity: 5200mAh / 19.24H
Output: 5V / 2A
Input: 5V / 1A
Size (L x W x H): 3.8 x 1.7 x 0.9 inch / 97 x 43 x 22mm","استرو E1 شاحن متنقل بنك طاقة البطارية الخارجية
اشحن هاتفك أثناء التنقل.

باور آي كيو
حصريًا لـ Anker. شحن ذكي عالي السرعة لجميع أجهزتك. لا يدعم الشحن السريع Qualcomm

سعة عالية
اشحن هاتفك الذكي من Apple أو Android مرة إلى مرتين أثناء التنقل. يمكنك حتى شحن iPad mini 3 إلى حوالي 70٪!

مضغوط بشكل لا يصدق
هذا الشيء صغير بشكل ملحوظ. بنفس حجم شريط الحلوى الصغير ، لن تجد ببساطة حزمة طاقة محمولة أكثر.

جودة فائقة
نحن نستخدم فقط خلايا البطارية الممتازة ، جنبًا إلى جنب مع المواد المتقدمة والتكنولوجيا المتطورة ، لضمان السلامة الكاملة.

الضمان العالمي الشهير
في Anker ، نؤمن بمنتجاتنا. لهذا السبب ندعمهم جميعًا بضمان لمدة 18 شهرًا ونقدم دعمًا ودودًا يسهل الوصول إليه.
متوافق مع:
معظم الأجهزة المشحونة عبر USB ، بما في ذلك iPhone 8 / X / XS / XS Max / XR (يتطلب كابل Lightning) ، والهواتف الذكية والأجهزة اللوحية التي تعمل بنظام Android (بما في ذلك Nexus 7).


المواصفات:
السعة: 5200 مللي أمبير / 19.24 ساعة
الإخراج: 5V / 2A
المدخلات: 5V / 1A
الحجم (الطول × العرض × الارتفاع): 3.8 × 1.7 × 0.9 بوصة / 97 × 43 × 22 ملم"
20,,,7D-ANK-A2013-BK,,ANKER POWERPORT+ 1 WITH QC3.0 AND IQ - BLACK,,انكر باوربورت بلاس 1 مع خاصية الشحن السريع 3.0 وآي كيو – أسود,6.5,,,"ANKER,POWERPORT+,1,WITH,QC3.0,AND,IQ,BLACK","انكر,باوربورت,بلاس,1,مع,خاصية,الشحن,السريع,3.0,وآي,كيو,–,أسود",ANKER-POWERPORT+-1-WITH-QC3.0-AND-IQ-BLACK,"PowerPort+ 1 with Quick Charge 3.0
The Premium USB Wall Charger
Qualcomm Quick Charge 3.0
Gives the fastest possible charge to any compatible phone or tablet, charging a phone up to 80% in 35 minutes—up to 4x faster than standard chargers.
Unrivaled USB Efficiency
Qualcomm Quick Charge 3.0 is 38% more efficient than the previous version, Quick Charge 2.0. That means less time waiting around and more time for you.
Travel Ready
A foldable plug, compact size and international voltage compatibility (AC 100-240V) make it the ideal travel companion.
Quick Charge Devices Include:
• Galaxy S7/S6/Edge/Edge Plus
• Galaxy Note 4/5/Edge
• LG G4
• LG G Flex2
• Nexus 6
• HTC One A9/M9
• Droid Turbo
• Xperia Z3/Z3 Compact/Z3 Tablet Compact/Z4 Tablet
• and many more (consult your device's technical specs to confirm compatibility)

For Optimal Use:
• Not compatible with iPad Pro 10.5""/12.9"" (iPad Pro 9.7"" excluded), Pixel, Pixel XL, Pixel 2, Pixel 2 XL, Pixel 3, and Pixel 3 XL
• For Nexus 5X and 6P, only regular charging speed is possible using a USB-A to USB-C cable.
• Use your original cable, or one certified by a third party (such as MFi).
• Not compatible with fast-charging for Samsung wireless chargers.","شاحن حائط USB ممتاز
Qualcomm Quick Charge 3.0
يمنح أسرع شحن ممكن لأي هاتف أو كمبيوتر لوحي متوافق ، ويشحن الهاتف حتى 80٪ في 35 دقيقة - أسرع بأربع مرات من أجهزة الشحن القياسية.
كفاءة USB لا مثيل لها
يعد Qualcomm Quick Charge 3.0 أكثر كفاءة بنسبة 38٪ من الإصدار السابق ، Quick Charge 2.0. وهذا يعني وقتًا أقل في الانتظار والمزيد من الوقت لك.
جاهز للسفر
يجعله القابس القابل للطي والحجم الصغير والتوافق الدولي للجهد (AC 100-240V) الرفيق المثالي للسفر.
تشمل أجهزة الشحن السريع:
• Galaxy S7 / S6 / Edge / Edge Plus
• جالكسي نوت 4/5 / إيدج
• LG G4
• LG G Flex2
• جهاز Nexus 6
• HTC One A9 / M9
• Droid Turbo
• Xperia Z3 / Z3 Compact / Z3 Tablet Compact / Z4 Tablet
• وغيرها الكثير (راجع المواصفات الفنية لجهازك لتأكيد التوافق)

للاستخدام الأمثل:
• غير متوافق مع iPad Pro 10.5 ""/ 12.9"" (باستثناء iPad Pro 9.7) و Pixel و Pixel XL و Pixel 2 و Pixel 2 XL و Pixel 3 و Pixel 3 XL
• بالنسبة إلى Nexus 5X و 6 P ، لا يمكن إلا توفير سرعة الشحن العادية باستخدام كابل USB-A إلى USB-C.
• استخدم الكابل الأصلي الخاص بك ، أو كابل معتمد من طرف ثالث (مثل MFi).
• غير متوافق مع الشحن السريع لأجهزة الشحن اللاسلكية من Samsung."
21,,,7D-ANK-A3181-BK,,ANKER SOUNDCORE SPORT XL - BLACK,,انكر ساوندكور سبورت اكس ال مكبر صوت لاسلكي بلوتوث– أسود,23.0,OUT OF STOCK,,"ANKER,SOUNDCORE,SPORT,XL,BLACK","انكر,ساوندكور,سبورت,اكس,ال,مكبر,صوت,لاسلكي,بلوتوث–,أسود",ANKER-SOUNDCORE-SPORT-XL-BLACK,"• This Anker SoundCore Bluetooth Speaker features Bluetooth 4.1 connectivity and lets you enjoy crisp, Shock-resistant, dust-tight, and IP67-rated waterproof.
• It features a 5V 1A output keeps your smartphone charged when you're outdoors.
• Plus a high capacity battery provides 15 hours of non-stop audio and stunning sound quality.
• Portable and light weight Speaker.
• High-Fidelity Sound.
• Charging time: 5 hours.
• Incredible 15-hour playtime.
• Built-in microphone for hands-free calling.
• Connection range of up to 66 feet (20 m)
• Bluetooth Version: 4.1
• Driver output: 8W
• 5V 1A output keeps your phone or tablet charged when you’re outdoors.
• Input: 5V / 1A.
• Dimensions: 8.1 x 17.5 x 4.3 cm.","• يتميز مكبر الصوت Anker SoundCore Bluetooth باتصال Bluetooth 4.1 ويتيح لك الاستمتاع بنقاء ومقاوم للصدمات ومحكم ضد الغبار ومقاوم للماء مصنف IP67.
• يتميز بإخراج 5 فولت 1 أمبير يحافظ على شحن هاتفك الذكي عندما تكون في الهواء الطلق.
• بالإضافة إلى بطارية عالية السعة توفر 15 ساعة من الصوت المتواصل وجودة صوت مذهلة.
• ميزات
• سماعة محمولة وخفيفة الوزن.
• صوت عالي الدقة.
• وقت الشحن: 5 ساعات.
• وقت لعب لا يصدق لمدة 15 ساعة.
• ميكروفون مدمج لإجراء مكالمات بدون استخدام اليدين.
• نطاق اتصال يصل إلى 66 قدمًا (20 مترًا)
• إصدار البلوتوث: 4.1
• خرج السائق: 8W
• يحافظ الإخراج 5V 1A على شحن هاتفك أو جهازك اللوحي عندما تكون بالخارج.
• المدخلات: 5V / 1A.
• الأبعاد: ٨ ٫ ١ × ١٧ ٫ ٥ × ٤ ٫ ٣ سم."
22,,,7D-B2514K23,,ANKER POWERWAVE 7.5W PAD WIRELESS CHARGER - WHITE,,انكر باور ويف شاحن بقوة 7.5 واط – أبيض,21.0,,,"ANKER,POWERWAVE,7.5W,PAD,WIRELESS,CHARGER,WHITE","انكر,باور,ويف شاحن,بقوة,7.5,واط,–,أبيض",ANKER-POWERWAVE-7.5W-PAD-WIRELESS-CHARGER-WHITE,"PowerWave 7.5 Pad
The High-Speed Wireless Charging Pad
Ride the Wave
The wireless evolution of Anker’s world-famous technology uses a high-efficiency chipset and an internal cooling fan (the first of its kind) to provide the fastest possible wireless charge in its class.
Note: Cooling fan makes a sound during normal charging operation.
All-Round Safety
Forget about “plugging-and-praying” with substandard chargers. Total radiation shielding, over-charge protection, foreign object detection, and more combine to provide peerless protection for you and your devices.
Just in Case
Don’t worry about taking your case off whenever you have to charge. PowerWave delivers charging power directly through cases up to 5 mm thick—including Otterboxes.
Input: 12V / 1.5A
Output: 5W / 7.5W / 10W
Compatibility:
10W Fast Charge Mode: (Using Quick Charge 2.0/3.0 Adapter)
• Samsung Galaxy S10 / S9+ / S9 / S8 / S8+ / S7 edge / S7 / S6 edge+
• Samsung Note 9 / Note 8 / Note 7
7.5W Fast Charge Mode: (Using Quick Charge 2.0/3.0 Adapter)
• iPhone XS Max / iPhone XR / iPhone XS / iPhone X / iPhone 8 / 8 Plus
5W Standard Charge Mode: (Using 5V/2A Adapter)
• All Qi-enabled phones and devices
• Pixel 3 / Pixel 3XL (The phone's screen will display the message: Charging slowly).

Notes
• iOS 11.2 required to access 7.5W fast charging for iPhone.
• Quick Charge 3.0 wall charger with 12V / 1.5A output required for operation.
• The included AC adapter does not have an LED indicator, to minimize distractions.","قاعدة PowerWave 7.5
وسادة الشحن اللاسلكي عالية السرعة
مواكب للتطور
يستخدم التطور اللاسلكي لتقنية Anker الشهيرة عالميًا مجموعة شرائح عالية الكفاءة ومروحة تبريد داخلية (الأولى من نوعها) لتوفير أسرع شحن لاسلكي ممكن في فئتها.

ملاحظة: تصدر مروحة التبريد صوتًا أثناء عملية الشحن العادية.

أمان شامل
انس أمر ""التوصيل والصلاة"" بشواحن دون المستوى المطلوب. يتم الجمع بين الحماية الكاملة من الإشعاع والحماية من الشحن الزائد واكتشاف الأجسام الغريبة والمزيد لتوفير حماية منقطعة النظير لك ولأجهزتك.
فقط في حالة
لا تقلق بشأن نزع الحافظة عندما يتعين عليك الشحن. يوفر PowerWave طاقة شحن مباشرة من خلال علب يصل سمكها إلى 5 مم - بما في ذلك Otterboxes.
الإدخال: 12 فولت / 1.5 أمبير
الإخراج: 5 واط / 7.5 واط / 10 واط
التوافق:
وضع الشحن السريع 10 وات: (باستخدام محول الشحن السريع 2.0 / 3.0)
   • Samsung Galaxy S10 / S9 + / S9 / S8 / S8 + / S7 edge / S7 / S6 edge + 
   • سامسونج نوت 9 / نوت 8 / نوت 7
وضع الشحن السريع 7.5 واط: (باستخدام محول الشحن السريع 2.0 / 3.0)
   • iPhone XS Max / iPhone XR / iPhone XS / iPhone X / iPhone 8/8 Plus
وضع الشحن القياسي 5 واط: (باستخدام محول 5V / 2A)
   • جميع الهواتف والأجهزة التي تدعم Qi
   • Pixel 3 / Pixel 3XL (ستعرض شاشة الهاتف الرسالة: جارٍ الشحن ببطء).


ملاحظات:
• يلزم توفر نظام iOS 11.2 للوصول إلى 7.5 واط للشحن السريع لجهاز iPhone.
• شاحن جداري Quick Charge 3.0 بمخرج 12 فولت / 1.5 أمبير مطلوب للتشغيل.
• لا يحتوي محول التيار المتردد المرفق على مؤشر LED لتقليل الانحرافات."
